class,precision,recall,f1-score,support
TV,0.8157894736842105,0.8378378378378378,0.8266666666666667,37.0
after,0.8461538461538461,0.6285714285714286,0.7213114754098361,35.0
airplane,0.925,0.925,0.925,40.0
all,0.8387096774193549,0.6666666666666666,0.7428571428571429,39.0
alligator,0.7837837837837838,0.7435897435897436,0.7631578947368421,39.0
animal,0.896551724137931,0.7428571428571429,0.8125,35.0
another,0.7045454545454546,0.8378378378378378,0.7654320987654321,37.0
any,0.7878787878787878,0.7428571428571429,0.7647058823529411,35.0
apple,0.9714285714285714,0.918918918918919,0.9444444444444444,37.0
arm,0.7435897435897436,0.8055555555555556,0.7733333333333333,36.0
aunt,0.8809523809523809,0.9736842105263158,0.925,38.0
awake,0.4444444444444444,0.42105263157894735,0.43243243243243246,38.0
backyard,0.6666666666666666,0.6486486486486487,0.6575342465753424,37.0
bad,0.8108108108108109,0.8108108108108109,0.8108108108108109,37.0
balloon,0.8648648648648649,0.8205128205128205,0.8421052631578947,39.0
bath,0.7027027027027027,0.7647058823529411,0.7323943661971831,34.0
because,0.9696969696969697,0.8,0.8767123287671232,40.0
bed,0.62,0.8857142857142857,0.7294117647058823,35.0
bedroom,0.76,0.5,0.6031746031746031,38.0
bee,0.8717948717948718,0.918918918918919,0.8947368421052632,37.0
before,0.8846153846153846,0.6571428571428571,0.7540983606557377,35.0
beside,0.3684210526315789,0.45161290322580644,0.4057971014492754,31.0
better,0.8205128205128205,0.8888888888888888,0.8533333333333334,36.0
bird,0.782608695652174,0.9,0.8372093023255814,40.0
black,0.8780487804878049,0.9473684210526315,0.9113924050632911,38.0
blow,0.8,0.8205128205128205,0.810126582278481,39.0
blue,0.7555555555555555,0.9444444444444444,0.8395061728395061,36.0
boat,0.7894736842105263,0.8108108108108109,0.8,37.0
book,0.7058823529411765,0.6857142857142857,0.6956521739130435,35.0
boy,0.8043478260869565,0.9736842105263158,0.8809523809523809,38.0
brother,0.8648648648648649,0.8,0.8311688311688312,40.0
brown,0.9743589743589743,0.95,0.9620253164556962,40.0
bug,0.925,0.9736842105263158,0.9487179487179487,38.0
bye,0.8809523809523809,0.9024390243902439,0.891566265060241,41.0
callonphone,0.972972972972973,0.972972972972973,0.972972972972973,37.0
can,0.5945945945945946,0.6111111111111112,0.6027397260273972,36.0
car,0.8461538461538461,0.9166666666666666,0.88,36.0
carrot,0.9142857142857143,0.8421052631578947,0.8767123287671232,38.0
cat,0.7297297297297297,0.6923076923076923,0.7105263157894737,39.0
cereal,0.9090909090909091,0.7894736842105263,0.8450704225352113,38.0
chair,0.7619047619047619,0.8648648648648649,0.810126582278481,37.0
cheek,0.8157894736842105,0.8378378378378378,0.8266666666666667,37.0
child,0.75,0.7058823529411765,0.7272727272727273,34.0
chin,0.7419354838709677,0.696969696969697,0.71875,33.0
chocolate,0.8648648648648649,0.8648648648648649,0.8648648648648649,37.0
clean,0.7,0.8235294117647058,0.7567567567567568,34.0
close,0.8125,0.7027027027027027,0.7536231884057971,37.0
closet,0.8648648648648649,0.8648648648648649,0.8648648648648649,37.0
cloud,0.7894736842105263,0.7894736842105263,0.7894736842105263,38.0
clown,0.972972972972973,0.9230769230769231,0.9473684210526315,39.0
cow,0.95,0.95,0.95,40.0
cowboy,0.972972972972973,0.9473684210526315,0.96,38.0
cry,0.8648648648648649,0.8205128205128205,0.8421052631578947,39.0
cut,0.8076923076923077,0.6,0.6885245901639344,35.0
cute,0.9411764705882353,0.8648648648648649,0.9014084507042254,37.0
dad,0.8648648648648649,0.8421052631578947,0.8533333333333334,38.0
dance,0.6046511627906976,0.8387096774193549,0.7027027027027027,31.0
dirty,0.9411764705882353,0.8888888888888888,0.9142857142857143,36.0
dog,0.7804878048780488,0.8648648648648649,0.8205128205128205,37.0
doll,0.9069767441860465,0.975,0.9397590361445783,40.0
donkey,0.9210526315789473,0.8974358974358975,0.9090909090909091,39.0
down,0.7368421052631579,0.875,0.8,32.0
drawer,0.8205128205128205,0.8888888888888888,0.8533333333333334,36.0
drink,0.9024390243902439,0.925,0.9135802469135802,40.0
drop,0.75,0.6176470588235294,0.6774193548387096,34.0
dry,0.8157894736842105,0.7948717948717948,0.8051948051948052,39.0
dryer,0.8181818181818182,0.7297297297297297,0.7714285714285715,37.0
duck,0.7692307692307693,0.7317073170731707,0.75,41.0
ear,0.825,0.8918918918918919,0.8571428571428571,37.0
elephant,0.8333333333333334,0.8108108108108109,0.821917808219178,37.0
empty,0.7777777777777778,0.7777777777777778,0.7777777777777778,36.0
every,0.7894736842105263,0.8108108108108109,0.8,37.0
eye,0.8823529411764706,0.7692307692307693,0.821917808219178,39.0
face,0.8,0.6486486486486487,0.7164179104477612,37.0
fall,0.7837837837837838,0.7631578947368421,0.7733333333333333,38.0
farm,0.8157894736842105,0.775,0.7948717948717948,40.0
fast,0.7368421052631579,0.7777777777777778,0.7567567567567568,36.0
feet,0.8148148148148148,0.6111111111111112,0.6984126984126984,36.0
find,0.9459459459459459,0.875,0.9090909090909091,40.0
fine,0.6944444444444444,0.7142857142857143,0.704225352112676,35.0
finger,0.8064516129032258,0.6578947368421053,0.7246376811594203,38.0
finish,0.8333333333333334,0.8974358974358975,0.8641975308641975,39.0
fireman,0.9047619047619048,0.926829268292683,0.9156626506024096,41.0
first,0.9047619047619048,0.95,0.926829268292683,40.0
fish,0.717948717948718,0.7368421052631579,0.7272727272727273,38.0
flag,0.8787878787878788,0.7631578947368421,0.8169014084507042,38.0
flower,0.8717948717948718,0.8947368421052632,0.8831168831168831,38.0
food,0.8974358974358975,0.8974358974358975,0.8974358974358975,39.0
for,0.9473684210526315,0.9473684210526315,0.9473684210526315,38.0
frenchfries,0.9459459459459459,0.8974358974358975,0.9210526315789473,39.0
frog,0.95,0.9743589743589743,0.9620253164556962,39.0
garbage,0.7804878048780488,0.8648648648648649,0.8205128205128205,37.0
gift,0.6346153846153846,0.868421052631579,0.7333333333333333,38.0
giraffe,0.896551724137931,0.7027027027027027,0.7878787878787878,37.0
girl,0.7692307692307693,0.7894736842105263,0.7792207792207793,38.0
give,0.7727272727272727,0.5,0.6071428571428571,34.0
glasswindow,0.7380952380952381,0.7948717948717948,0.7654320987654321,39.0
go,0.7105263157894737,0.6923076923076923,0.7012987012987013,39.0
goose,0.6578947368421053,0.625,0.6410256410256411,40.0
grandma,0.8181818181818182,0.7105263157894737,0.7605633802816901,38.0
grandpa,0.85,0.918918918918919,0.8831168831168831,37.0
