sample_index,true_class,pred_class,pred_confidence,true_confidence
3765,loud,noisy,12.259044,5.465087
570,give,gift,11.538801,10.052709
7536,pen,pencil,11.289731,10.145568
2751,yes,can,11.245708,7.1370907
1865,wait,finger,10.946096,8.700742
2508,kitty,bee,10.899973,6.5320835
786,give,gift,10.777812,9.387984
3775,look,face,10.70463,8.410033
4370,loud,noisy,10.660806,6.701588
7930,nap,sleep,10.526761,9.234549
571,nap,pajamas,10.40427,5.30259
5116,listen,hear,10.316037,9.396585
6973,gift,give,10.26505,10.139054
3465,cat,kitty,10.260331,9.745353
4131,look,face,10.222958,8.99812
1577,into,night,10.204346,7.8074894
585,bedroom,bed,10.179584,7.052466
2711,haveto,have,10.168299,6.682939
7265,pen,pencil,10.153524,10.135588
1832,toy,green,10.116777,7.9170084
4299,nap,sleep,10.106962,8.713828
3579,stay,that,10.09594,9.963275
8208,boat,book,10.077181,8.072543
6882,bedroom,bed,10.042438,7.6855993
303,hear,ear,10.041194,9.538461
7207,bedroom,bed,10.0267,9.09028
4269,bedroom,room,10.00203,8.407354
6316,yucky,hate,9.995319,6.583415
960,kitty,cat,9.970061,9.60774
5306,dog,green,9.954271,5.432129
3809,lips,mouth,9.927509,9.608014
3810,fine,talk,9.919032,6.3000607
1580,bedroom,bed,9.901702,7.2906675
8957,beside,person,9.864568,8.702238
8133,loud,later,9.862225,6.4807935
1201,cat,kitty,9.824536,9.756752
5113,give,gift,9.820671,8.558098
6881,kiss,food,9.81745,5.2824926
6855,green,owie,9.810972,8.6710825
7552,book,person,9.792681,2.178729
7100,bedroom,room,9.773763,5.5523663
422,cut,scissors,9.773474,7.069213
994,beside,person,9.770448,8.027679
2870,goose,bird,9.754835,7.6069016
8754,awake,wake,9.754638,9.413871
2777,grandma,mom,9.680985,5.4150076
1624,look,see,9.671719,8.813739
5772,give,gift,9.660464,8.452922
8979,wait,finger,9.653016,9.262129
4234,cut,scissors,9.539191,9.073534
5215,alligator,loud,9.529804,2.8635824
6018,awake,wake,9.526899,9.004091
5236,give,gift,9.52682,7.505748
5185,give,gift,9.518817,8.275518
8868,wake,awake,9.513279,9.489472
7071,black,face,9.508817,4.6677275
441,face,look,9.491288,9.411046
7946,wake,awake,9.491199,9.136068
4518,bedroom,bed,9.475719,7.6042995
8952,wake,awake,9.471964,9.3881855
8337,puppy,hide,9.4597645,-0.19773415
252,nap,sleep,9.457562,7.627886
8818,quiet,shhh,9.449219,6.7320642
