class,pr_auc
TV,0.9294897123825832
after,0.7061773554858679
airplane,0.9441357761604888
all,0.7258800535941609
alligator,0.8010835078434984
animal,0.9010246531168467
another,0.8883605808761708
any,0.7583844032688551
apple,0.9521022422950193
arm,0.857565206331906
aunt,0.9612702631329416
awake,0.43988279452187634
backyard,0.6600939402105824
bad,0.8365059795013011
balloon,0.8627858296031837
bath,0.7634179768449523
because,0.8678156606043095
bed,0.7188718288754058
bedroom,0.654819289963106
bee,0.9201080319866506
before,0.7247980736668472
beside,0.47803269547255123
better,0.8832372764812132
bird,0.8311967976080602
black,0.9410166724166016
blow,0.8536311459735371
blue,0.952314574092624
boat,0.829389704372751
book,0.7051453265704047
boy,0.9545707223596709
brother,0.8786494709151461
brown,0.959620680267232
bug,0.9822559346166156
bye,0.9148715454540249
callonphone,0.9892395843181545
can,0.6347379031496959
car,0.9290990174894953
carrot,0.8894436539055419
cat,0.6307806860100523
cereal,0.8713190458832122
chair,0.8676029183301904
cheek,0.8594908944502604
child,0.7358796560921689
chin,0.8179799438389677
chocolate,0.8707697540442821
clean,0.7660890248201072
close,0.7940706089649516
closet,0.902073991624161
cloud,0.7419090635847049
clown,0.9614874724469257
cow,0.9681909566974839
cowboy,0.9770394915346254
cry,0.8499078835057429
cut,0.6833837537165941
cute,0.9742689920680714
dad,0.896929350199602
dance,0.8551902161315142
dirty,0.9025294191545072
dog,0.830753444907409
doll,0.970165334363704
donkey,0.935108204678042
down,0.8434464479465862
drawer,0.845777615703374
drink,0.9605694162716808
drop,0.7251631734044622
dry,0.8809545636750699
dryer,0.7971953193893323
duck,0.8045959425989421
ear,0.8153119673768942
elephant,0.7966279038887485
empty,0.8366884860133629
every,0.8578604051684552
eye,0.8378258273173225
face,0.674030162240685
fall,0.8263938535047203
farm,0.8540588299404517
fast,0.7395899909461934
feet,0.727134610674693
find,0.9146741506684269
fine,0.7848812023257001
finger,0.7065317831869911
finish,0.9036702414792818
fireman,0.9507189602179318
first,0.928967383444043
fish,0.7628273811722284
flag,0.8497286637437071
flower,0.9377515474185643
food,0.9110054206097719
for,0.9766990625236662
frenchfries,0.8996244307727513
frog,0.9721266107123192
garbage,0.8723770892068109
gift,0.7862878491461051
giraffe,0.8194085603366721
girl,0.8821405249452169
give,0.47797408523487867
glasswindow,0.8346461610833867
go,0.6645788891018167
goose,0.7721132840435679
grandma,0.8111306142195939
grandpa,0.9667182986019905
grass,0.8922775079340908
green,0.8617727251250031
gum,0.9701785802414803
hair,0.9079940931312839
happy,0.8780347337836107
hat,0.8212575178606426
hate,0.7824327128588449
have,0.7412339587770826
haveto,0.8769777242713576
head,0.9306576536009764
hear,0.7592624183423569
helicopter,0.7688134711775428
hello,0.9316241633275258
hen,0.9436677118746678
hesheit,0.8587183361942001
hide,0.7355530267235854
high,0.9791176109322919
home,0.9397201326150157
horse,1.0
hot,0.9512861169221901
hungry,0.8863504170801038
icecream,0.9711782682616511
if,0.9152068602631979
into,0.7427485073470308
jacket,0.7471271728526154
jeans,0.7134396551408675
jump,0.7451769021283529
kiss,0.8253859057173577
kitty,0.7819558220832993
lamp,0.8205894294016527
later,0.955749621452
like,0.8143892115445065
lion,0.9703985356268544
lips,0.8280801910863729
listen,0.8273733454310965
look,0.7140621199637334
loud,0.8895199349728818
mad,0.8710315349164773
make,0.8810430857416006
man,0.9398090818850918
many,0.964877662138821
milk,0.9023631936335738
minemy,0.8810702795586998
mitten,0.8494723364826163
mom,0.872211830073348
moon,0.9163427398073879
morning,0.7798308099531418
mouse,0.9276769519186705
mouth,0.7025885340642718
nap,0.7400723978769046
napkin,0.9020791303943261
night,0.6980647351118079
no,0.857698554180198
noisy,0.7688445544859782
nose,0.9664210388668594
not,0.8764336210634557
now,0.9514138512715025
nuts,0.931199516608812
old,0.8599783182112581
on,0.7610741302749232
open,0.6107855867260152
orange,0.9577213603713313
outside,0.81180139755213
owie,0.8519988579577858
owl,0.939443823786786
pajamas,0.7472458028116781
pen,0.5938939861304263
pencil,0.5899686970682787
penny,0.9217777671895999
person,0.7842969126152942
pig,0.9329327798729458
pizza,0.9055101641838494
please,0.9557727857029749
police,0.8119140203665961
pool,0.8625546715414738
potty,0.9001862308755737
pretend,0.8072636324323769
pretty,0.9252497483432824
puppy,0.6478326020116315
puzzle,0.8121670554649134
quiet,0.9089699096587239
radio,0.9564509702998911
rain,0.8953392053709756
read,0.8509857916846645
red,0.8473008375027599
refrigerator,0.8253915081401387
ride,0.6547137331839573
room,0.7218383922141433
sad,0.9485876975737656
same,0.885635875154642
say,0.8252492484105501
scissors,0.7845586937446991
see,0.896596291966696
shhh,0.9803341840464322
shirt,0.8188486342071081
shoe,0.9165346555941802
shower,0.8945067133138358
sick,0.9174598390030856
sleep,0.5368857294622225
sleepy,0.7411044190005156
smile,0.7534176705515454
snack,0.8593683903401008
snow,0.8753375868534983
stairs,0.8642571583440792
stay,0.7414232969043568
sticky,0.7460410047744833
store,0.9382809558277622
story,0.8907598181367172
stuck,0.9368490810912451
sun,0.8779234857650517
table,0.8110902280571318
talk,0.8580312059656535
taste,0.889758820347381
thankyou,0.9208154929223713
that,0.7310148984191607
there,0.4703452179604289
think,0.905716309708351
thirsty,0.9367328122935668
tiger,0.9474466629060329
time,0.8190475311764249
tomorrow,0.9428062710622743
tongue,0.863149674376918
tooth,0.8299698047354919
toothbrush,0.8820207688555928
touch,0.7270480086894315
toy,0.8696315695092567
tree,0.7459325347231186
uncle,0.9845391545391547
underwear,0.8206267624921153
up,0.9393361558573228
vacuum,0.5409632609353923
wait,0.7016110327242959
wake,0.5206409861688102
water,0.9562847137363821
wet,0.7426020212312459
weus,0.8361526494263731
where,0.9331877714178656
white,0.8955047739649276
who,0.8993351255629781
why,0.927090215236488
will,0.7986033043298025
wolf,0.906074098443693
yellow,0.9298109523362107
yes,0.8433940634992967
yesterday,0.9470560186114925
yourself,0.9326859123916734
yucky,0.8441749375952318
zebra,0.9433732516696873
zipper,0.7595198694376529
