class,roc_auc
TV,0.9990823530095047
after,0.9567546000030692
airplane,0.9962677343078246
all,0.9687733366400749
alligator,0.9878063902781795
animal,0.9872504335282292
another,0.9971018617198912
any,0.9741417675674846
apple,0.9979875653024896
arm,0.9879762927947285
aunt,0.9996436933726968
awake,0.9963492709853292
backyard,0.9537633690421914
bad,0.9832035753385275
balloon,0.9969357527659516
bath,0.9738706008719278
because,0.976628331900258
bed,0.9842640762395838
bedroom,0.9514150463198615
bee,0.9980804915800081
before,0.9757469729754616
beside,0.9805717294243566
better,0.9827597526619873
bird,0.9841224204643165
black,0.999652176863823
blow,0.9936841235067995
blue,0.9995493721052381
boat,0.9848849601723784
book,0.9879901170909873
boy,0.9997850848914679
brother,0.9932125967325881
brown,0.9918072871883061
bug,0.9998784032938568
bye,0.997294342501632
callonphone,0.9999564408074132
can,0.9950908418087189
car,0.9847502745547438
carrot,0.9843875484972909
cat,0.9788340980173328
cereal,0.9921216645740721
chair,0.9898419962887568
cheek,0.9879108720840751
child,0.9779743476337904
chin,0.9960847872994796
chocolate,0.9865460173830218
clean,0.9848234030454287
close,0.991897990178854
closet,0.9833574844856676
cloud,0.9891778931532571
clown,0.9996197247137601
cow,0.9997984737747205
cowboy,0.999886886784983
cry,0.9823419997519944
cut,0.9710817488452036
cute,0.9998896500454467
dad,0.972776476975805
dance,0.9962903052618088
dirty,0.9927810008117272
dog,0.9988994044006401
doll,0.9997689165950129
donkey,0.9985284999793328
down,0.9975401363831616
drawer,0.9967829346320967
drink,0.9967110920034394
drop,0.9896442787641372
dry,0.9992973174058611
dryer,0.9925891293678981
duck,0.9989486737821264
ear,0.9930740883786978
elephant,0.9896561437337198
empty,0.9871018956214487
every,0.9984202532821852
eye,0.9464941649788507
face,0.9821233073623747
fall,0.9645870802085807
farm,0.986817497850387
fast,0.982061428639641
feet,0.9881881774339876
find,0.9963590928632846
fine,0.9754922271841382
finger,0.9759634418089065
finish,0.9817826092946996
fireman,0.9989329432152755
first,0.9765396603611349
fish,0.965257276007556
flag,0.9960382096440328
flower,0.9990413655027317
food,0.9969825982722275
for,0.9998784032938568
frenchfries,0.9919122611223633
frog,0.9914465616776202
garbage,0.9724996297468631
gift,0.9955687898017125
giraffe,0.9657973219808397
girl,0.9908972140215142
give,0.9737000063183168
glasswindow,0.9982529381777099
go,0.9859656374433375
goose,0.9951472484952708
grandma,0.9723579580802425
grandpa,0.9997996277141007
grass,0.9757089370751184
green,0.9947402355017136
gum,0.9924385841634633
hair,0.9913997161713444
happy,0.9948103184835029
hat,0.9656820622986036
hate,0.9654220953608643
have,0.981171415934795
haveto,0.9839230429013711
head,0.9991148890924927
hear,0.9984636479708879
helicopter,0.9664971730084011
hello,0.9946733903746263
hen,0.9990724716368613
